Crop,District,Year,Min_Temp,Max_Temp,crop_bengal_gram,crop_groundnut,crop_maize,Total_Rainfall,Acre,Total_Yield
groundnut,JAGTIAL,2018,13.81,42.12,0,1,0,695.97875,3,1427
groundnut,JANGAON,2018,15.21,40.52,0,1,0,682.6244231,2,1583
groundnut,JAYASHANKAR,2018,13.75,42.09,0,1,0,973.075,4,2141
groundnut,JOGULAMBA,2018,16.6,40.57,0,1,0,453.645625,6,2480
groundnut,KAMAREDDY,2018,13.47,40.66,0,1,0,686.9798864,4,2489
groundnut,KARIMNAGAR,2018,14.29,41.84,0,1,0,646.7978125,3,2700
groundnut,KHAMMAM,2018,17.28,41.22,0,1,0,714.6277381,2,2245
groundnut,KOMARAM BHEEM,2018,12.41,41.67,0,1,0,857.882,4,2504
groundnut,MAHABUBABAD,2018,15.28,41.49,0,1,0,807.1160938,6,1622
groundnut,MAHABUBNAGAR,2018,15.48,40.06,0,1,0,474.7356731,4,2235
groundnut,MANCHERIAL,2018,13.37,42.55,0,1,0,831.5677778,3,2489
groundnut,MEDAK,2018,14.14,40.07,0,1,0,616.112875,2,2491
groundnut,MEDCHAL MALKAJG,2018,15.58,39.91,0,1,0,632.5989286,0.5,300
groundnut,NAGARKURNOOL,2018,15.58,39.9,0,1,0,429.269625,6,2455
groundnut,NALGONDA,2018,17.15,41.18,0,1,0,546.1699194,4,1748
groundnut,NIRMAL,2018,13.33,41.83,0,1,0,803.0723684,2,2489
groundnut,NIZAMABAD,2018,14.22,41.39,0,1,0,703.7388889,4,2496
groundnut,PEDDAPALLI,2018,14.06,42.38,0,1,0,714.3871429,6,2489
groundnut,RAJANNA,2018,12.84,41.38,0,1,0,635.6290385,4,2489
groundnut,RANGAREDDY,2018,14.66,39.1,0,1,0,491.5461111,6,2711
groundnut,SANGAREDDY,2018,13.67,39.63,0,1,0,612.2584615,5,2491
groundnut,SIDDIPET,2018,13.8,39.92,0,1,0,597.5453409,4,2268
groundnut,SURYAPET,2018,17.51,41.36,0,1,0,585.3026087,3.5,1791
groundnut,VIKARABAD,2018,14.49,39.32,0,1,0,609.0333333,5,2458
groundnut,WANAPARTHY,2018,16.89,40.41,0,1,0,488.7001786,6,3073
groundnut,WARANGAL RURAL,2018,14.71,41.22,0,1,0,851.1166667,6,3167
groundnut,WARANGAL URBAN,2018,15.09,41.29,0,1,0,808.2336364,5,2489
groundnut,YADADRI,2018,15.31,40.33,0,1,0,513.0085938,3,2500
maize,ADILABAD,2016,12.34,42.66,0,0,1,1130.15,2.5,5712
maize,BHADRADRI,2016,16.42,42.65,0,0,1,1145.008696,3,6076
maize,HYDERABAD,2016,17.52,41.88,0,0,1,885.48125,1.2,2500
maize,JAGTIAL,2016,12.84,43.34,0,0,1,960.3555556,2,5251
maize,JANGAON,2016,15.99,41.87,0,0,1,978.6769231,2.5,4766
maize,JAYASHANKAR,2016,14.45,42.74,0,0,1,1135.705,2.5,5103
maize,JOGULAMBA,2016,16.79,42.73,0,0,1,540,1.8,1950
maize,KAMAREDDY,2016,13.45,42.33,0,0,1,1096.881818,2,4916
maize,KARIMNAGAR,2016,14.99,42.86,0,0,1,900.4125,3,6316
maize,KHAMMAM,2016,17.66,42.25,0,0,1,777.5047619,2,5581
maize,KOMARAM BHEEM,2016,12.65,42.13,0,0,1,1119.48,3,4917
maize,MAHABUBABAD,2016,16.19,42.95,0,0,1,938.4625,2,4966
maize,MAHABUBNAGAR,2016,15.42,42.19,0,0,1,579.4384615,0.8,1143
maize,MANCHERIAL,2016,14.15,42.94,0,0,1,1116.6,2,5410
maize,MEDAK,2016,13.57,42.09,0,0,1,1005.09,1,2940
maize,MEDCHAL MALKAJG,2016,15.78,41.72,0,0,1,946.8857143,1.9,3293
maize,NAGARKURNOOL,2016,15.79,42.24,0,0,1,543.63,1,1116
maize,NALGONDA,2016,17.13,42.72,0,0,1,785.216129,1,2630
maize,NIRMAL,2016,13.39,42.97,0,0,1,1247.821053,3,6300
maize,NIZAMABAD,2016,13.68,42.79,0,0,1,1252.888889,2,5433
maize,PEDDAPALLI,2016,14.89,42.81,0,0,1,941.8571429,3,6306
maize,RAJANNA,2016,13.15,42.95,0,0,1,1018.907692,1,4963
maize,RANGAREDDY,2016,14.39,41.39,0,0,1,635.7481481,2,3132
maize,SANGAREDDY,2016,12.83,41.8,0,0,1,942.6538462,1,2666
maize,SIDDIPET,2016,14.57,41.56,0,0,1,894.1818182,1,2750
maize,SURYAPET,2016,17.53,42.48,0,0,1,764.6434783,3,5651
maize,VIKARABAD,2016,14.04,41.63,0,0,1,943.2,3,3231
maize,WANAPARTHY,2016,17.18,42.46,0,0,1,572.2,2,1162
maize,WARANGAL RURAL,2016,15.17,42.37,0,0,1,1075.166667,3,6999
maize,WARANGAL URBAN,2016,15.79,42.57,0,0,1,1290.163636,3,6052
maize,YADADRI,2016,15.99,41.75,0,0,1,719.83125,1,1927
maize,ADILABAD,2017,12.69,41.62,0,0,1,848.3227778,5,9282
maize,BHADRADRI,2017,15.89,41.41,0,0,1,908.6626087,2,5478
maize,HYDERABAD,2017,17.67,39.85,0,0,1,774.113125,6,12000
